epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,89.105,1.14742,1.2129,1.21032,0.83612,0.89815,0.89322,0.63387,1.07603,1.05133,1.16077,0.000311379,0.000311379,0.000311379
81,90.2189,1.13159,1.14626,1.16175,0.82644,0.90159,0.88924,0.64348,1.08382,1.03801,1.15999,0.000297232,0.000297232,0.000297232
82,91.2269,1.20507,1.25732,1.24756,0.81148,0.92402,0.90373,0.66009,1.07888,1.00514,1.15581,0.000283085,0.000283085,0.000283085
83,92.2385,1.13001,1.14673,1.18662,0.82185,0.89651,0.91141,0.66036,1.06589,0.97213,1.15294,0.000268938,0.000268938,0.000268938
84,93.2974,1.16601,1.29285,1.21327,0.89754,0.87903,0.93352,0.66382,1.05353,0.94652,1.14863,0.000254791,0.000254791,0.000254791
85,94.4057,1.08145,1.37169,1.1776,0.88338,0.87445,0.93415,0.66719,1.04346,0.92221,1.14132,0.000240644,0.000240644,0.000240644
86,95.4501,1.02776,1.12853,1.20336,0.89339,0.87696,0.9311,0.67774,1.05008,0.91007,1.13789,0.000226497,0.000226497,0.000226497
87,96.5091,1.23955,1.23608,1.25894,0.89567,0.88277,0.93237,0.67434,1.05969,0.89765,1.1397,0.000212349,0.000212349,0.000212349
88,97.4951,1.19114,1.17831,1.22596,0.89191,0.88314,0.93049,0.67239,1.06011,0.89627,1.1404,0.000198202,0.000198202,0.000198202
89,98.5349,1.12499,1.15263,1.20712,0.87083,0.8858,0.92988,0.6819,1.05338,0.89193,1.14052,0.000184055,0.000184055,0.000184055
90,99.5952,1.16903,1.19975,1.24922,0.88722,0.8858,0.9349,0.68169,1.04587,0.88181,1.13783,0.000169908,0.000169908,0.000169908
91,143.039,1.08749,1.24913,1.1142,0.91693,0.90432,0.95638,0.70099,1.03029,0.87318,1.13225,0.000155761,0.000155761,0.000155761
92,144.377,1.0896,1.17734,1.23457,0.9187,0.90422,0.95281,0.70551,1.01141,0.87014,1.12476,0.000141614,0.000141614,0.000141614
93,145.57,0.99355,1.14551,1.1427,0.91129,0.90229,0.9495,0.71928,0.99798,0.87392,1.11907,0.000127467,0.000127467,0.000127467
94,146.754,1.1356,1.18524,1.21358,0.90263,0.90186,0.95033,0.72517,0.99419,0.87895,1.11552,0.00011332,0.00011332,0.00011332
95,147.903,1.05117,1.08384,1.17046,0.90046,0.89969,0.95033,0.72512,0.9888,0.8801,1.11323,9.91726e-05,9.91726e-05,9.91726e-05
96,149.059,1.00952,1.08576,1.14809,0.90318,0.89708,0.95081,0.72469,0.97945,0.88025,1.10779,8.50255e-05,8.50255e-05,8.50255e-05
97,150.209,0.9469,1.03503,1.07137,0.91443,0.89764,0.95303,0.73082,0.97117,0.87374,1.10324,7.08784e-05,7.08784e-05,7.08784e-05
98,151.393,1.11855,1.06325,1.25011,0.90393,0.92265,0.95579,0.73667,0.95781,0.86535,1.09974,5.67313e-05,5.67313e-05,5.67313e-05
99,152.518,1.1516,1.18448,1.21279,0.90209,0.93437,0.95733,0.73921,0.94875,0.85547,1.09785,4.25842e-05,4.25842e-05,4.25842e-05
100,153.811,1.03594,1.11561,1.12364,0.90018,0.93519,0.95695,0.74183,0.94594,0.84645,1.09584,2.84371e-05,2.84371e-05,2.84371e-05
