timestamp,fps,speed,steering,nav_state,traffic_state,curvature,degradation_level,estop
1771795110.18,22.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.213,21.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.25,24.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.296,25.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.34,24.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.384,23.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.434,23.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.478,22.4,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.522,22.3,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.567,22.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.611,22.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.658,22.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.704,22.1,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.76,22.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.81,20.9,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.846,20.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.867,22.8,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.91,30.1,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.97,28.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795110.997,24.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.03,28.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.077,28.9,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.12,26.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.164,25.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.21,24.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.259,23.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.301,22.9,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.349,23.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.395,22.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.45,22.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.485,21.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.533,23.4,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.577,22.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.623,22.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.668,22.4,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.718,22.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.76,21.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.813,22.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.852,21.1,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.901,22.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.947,21.9,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795111.991,21.9,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.033,22.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.09,22.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.137,21.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.166,21.3,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.203,25.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.248,25.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.296,24.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.346,23.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.402,22.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.444,21.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.481,22.0,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.528,23.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.581,22.8,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.635,21.7,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.678,20.6,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.714,21.5,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.741,23.1,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.805,27.9,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.848,24.2,0.0,0.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.876,24.1,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.907,27.6,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.962,28.9,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795112.987,25.7,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795113.032,29.7,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795113.075,27.5,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795113.124,26.1,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795113.179,24.4,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795113.206,22.6,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
1771795113.252,26.7,0.0,45.0,JUNCTION_RIGHT,FATAL DEGRADATION,0.0,3,0
