timestamp,fps,speed_pwm,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,estop
1771963615.4532,32.5,50.0,0.0,PILOTING,SYS_GO,10.5674,4.01,0.0,0.0,281,0.0,0
1771963615.4999,33.4,50.0,0.0,PILOTING,SYS_GO,10.5836,4.01,0.0,0.0,281,0.0,0
1771963615.5917,29.0,50.0,0.0,PILOTING,SYS_GO,10.6366,4.01,0.0,0.0,281,0.0,0
1771963615.6373,40.0,50.0,0.0,PILOTING,SYS_GO,10.6437,4.01,0.0,0.0,281,0.0,0
1771963615.6829,38.7,50.0,0.0,PILOTING,SYS_GO,10.6617,4.01,0.0,0.0,281,0.0,0
1771963615.761,33.7,50.0,0.0,PILOTING,SYS_GO,10.7053,4.01,0.0,0.0,280,0.0,0
1771963615.8099,40.2,50.0,0.0,PILOTING,SYS_GO,10.7144,4.01,0.0,0.0,280,0.0,0
1771963615.8697,36.6,50.0,0.0,PILOTING,SYS_GO,10.7415,4.01,0.0,0.0,280,0.0,0
1771963615.9604,31.9,50.0,0.0,PILOTING,SYS_GO,10.7875,4.01,0.0,0.0,280,0.0,0
1771963616.0068,32.9,50.0,0.0,PILOTING,SYS_GO,10.8038,4.01,0.0,0.0,280,0.0,0
1771963616.0966,28.6,50.0,0.0,PILOTING,SYS_GO,10.855,4.01,0.0,0.0,280,0.0,0
1771963616.1422,33.1,50.0,0.0,PILOTING,SYS_GO,10.8668,4.01,0.0,0.0,280,0.0,0
1771963616.2491,28.6,50.0,0.0,PILOTING,SYS_GO,10.9217,4.01,0.0,0.0,280,0.0,0
1771963616.2958,29.9,50.0,0.0,PILOTING,SYS_GO,10.939,4.01,0.0,0.0,280,0.0,0
1771963616.4186,25.6,50.0,0.0,PILOTING,SYS_GO,11.0072,4.01,0.0,0.0,280,0.0,0
1771963616.4664,37.8,50.0,0.0,PILOTING,SYS_GO,11.0142,4.01,0.0,0.0,280,0.0,0
1771963616.5723,32.5,50.0,0.0,PILOTING,SYS_GO,11.0679,4.01,0.0,0.0,280,0.0,0
1771963616.6186,33.6,50.0,0.0,PILOTING,SYS_GO,11.0836,4.01,0.0,0.0,280,0.0,0
1771963616.7301,28.8,50.0,0.0,PILOTING,SYS_GO,11.1462,4.01,0.0,0.0,279,0.0,0
1771963616.7773,35.3,50.0,0.0,PILOTING,SYS_GO,11.156,4.01,0.0,0.0,279,0.0,0
1771963616.84,33.0,50.0,0.0,PILOTING,SYS_GO,11.1811,4.01,0.0,0.0,279,0.0,0
1771963616.9395,28.6,50.0,0.0,PILOTING,SYS_GO,11.2366,4.01,0.0,0.0,279,0.0,0
1771963616.9853,35.2,50.0,0.0,PILOTING,SYS_GO,11.2463,4.01,0.0,0.0,279,0.0,0
1771963617.1079,29.9,50.0,0.0,PILOTING,SYS_GO,11.3164,4.01,0.0,0.0,279,0.0,0
