schema_ver,timestamp,fps,yolo_ms,vis_ms,speed_pwm,velocity_ms,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,lane_l_conf,lane_r_conf,estop
3,1771968713.0126,26.7,0.0,10.8,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2127,3.147,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.0683,39.9,6.8,36.5,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2134,3.146,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.1249,36.4,1.1,21.5,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2162,3.1418,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.1642,37.5,0.0,14.7,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2177,3.1396,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.2098,42.9,22.4,49.4,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2186,3.1382,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.2872,37.0,0.0,14.8,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2232,3.1313,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.3352,43.1,1.8,76.3,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2241,3.1299,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.4266,37.1,0.0,17.8,20.0,0.112,-0.0,PILOTING,SYS_GO,17.229,3.1226,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.4801,40.2,3.6,77.7,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2302,3.1209,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.5774,34.6,0.0,37.4,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2352,3.1133,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.6279,32.8,3.8,98.9,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2377,3.1096,-0.9818,-56.25,255,0.0,0.0,0.0,0
3,1771968713.7557,28.1,3.2,13.6,20.0,0.112,-0.0,PILOTING,SYS_GO,17.2443,3.0997,-0.9818,-56.25,254,0.0,0.0,0.0,0
3,1771968713.7925,33.8,0.0,28.3,20.0,0.112,-4.44,PILOTING,SYS_GO,17.0811,2.9084,-0.9818,-56.25,254,0.0,0.0,0.0,0
3,1771968713.8363,33.8,2.0,28.9,20.0,0.112,-8.43,PILOTING,SYS_GO,17.0829,2.9056,-0.9849,-56.43,254,0.0,0.0,0.0,0
3,1771968713.8819,33.5,7.6,20.1,16.0,0.112,-12.01,PILOTING,SYS_GO,17.0848,2.9027,-0.9908,-56.77,254,0.0,0.0,0.0,0
3,1771968713.9269,33.9,1.1,23.7,16.0,0.056,-15.25,PILOTING,SYS_GO,17.0857,2.9014,-0.9977,-57.16,254,0.0,0.0,0.0,0
3,1771968713.9725,33.9,12.3,61.0,16.0,0.056,-18.17,PILOTING,SYS_GO,17.0866,2.9,-1.0064,-57.66,254,0.0,0.0,0.0,0
3,1771968714.0632,29.7,0.0,25.0,16.0,0.056,-20.8,PILOTING,SYS_GO,17.0888,2.8964,-1.017,-58.27,254,0.0,0.0,0.0,0
3,1771968714.1128,31.3,6.0,58.8,16.0,0.056,-23.18,PILOTING,SYS_GO,17.0896,2.8951,-1.0292,-58.97,254,0.0,0.0,0.0,0
3,1771968714.1863,28.1,0.0,13.9,12.0,0.056,-25.14,PILOTING,SYS_GO,17.0914,2.8919,-1.043,-59.76,254,0.0,0.0,0.0,0
3,1771968714.2337,36.4,1.5,48.7,12.0,0.0,-26.37,PILOTING,SYS_GO,17.0914,2.8919,-1.0543,-60.41,254,0.0,0.0,0.0,0
3,1771968714.2925,32.9,6.1,20.3,12.0,0.0,-27.15,PILOTING,SYS_GO,17.0914,2.8919,-1.0662,-61.09,254,0.0,0.0,0.0,0
3,1771968714.3375,31.8,0.0,23.8,12.0,0.0,-27.68,PILOTING,SYS_GO,17.0914,2.8919,-1.0786,-61.8,254,0.0,0.0,0.0,0
3,1771968714.3842,33.9,0.6,19.8,12.0,0.0,-28.04,PILOTING,SYS_GO,17.0914,2.8919,-1.0912,-62.52,254,0.0,0.0,0.0,0
3,1771968714.4306,36.9,1.5,10.0,12.0,0.0,-28.31,PILOTING,SYS_GO,17.0914,2.8919,-1.1041,-63.26,254,0.0,0.0,0.0,0
3,1771968714.4765,47.0,5.1,113.9,12.0,0.0,-28.52,PILOTING,SYS_GO,17.0914,2.8919,-1.117,-64.0,254,0.0,0.0,0.0,0
3,1771968714.6134,39.2,0.6,11.7,12.0,0.0,-28.69,PILOTING,SYS_GO,17.0914,2.8919,-1.1301,-64.75,254,0.0,0.0,0.0,0
3,1771968714.6597,47.6,0.0,71.1,12.0,0.0,-28.84,PILOTING,SYS_GO,17.0914,2.8919,-1.1433,-65.51,254,0.0,0.0,0.0,0
3,1771968714.7367,40.9,3.2,49.1,12.0,0.0,-28.97,PILOTING,SYS_GO,17.0914,2.8919,-1.1566,-66.27,254,0.0,0.0,0.0,0
3,1771968714.7968,36.5,0.3,21.0,12.0,0.0,-29.1,PILOTING,SYS_GO,17.0914,2.8919,-1.17,-67.03,254,0.0,0.0,0.0,0
3,1771968714.843,38.2,3.0,58.4,12.0,0.0,-29.21,PILOTING,SYS_GO,17.0914,2.8919,-1.1834,-67.8,254,0.0,0.0,0.0,0
3,1771968714.9181,33.7,3.0,34.1,12.0,0.0,-29.32,PILOTING,SYS_GO,17.0914,2.8919,-1.1969,-68.57,254,0.0,0.0,0.0,0
3,1771968714.9655,31.9,0.3,14.2,12.0,0.0,-29.42,PILOTING,SYS_GO,17.0914,2.8919,-1.2104,-69.35,254,0.0,0.0,0.0,0
3,1771968715.0104,39.3,1.1,32.0,12.0,0.0,-26.48,PILOTING,SYS_GO,17.0914,2.8919,-1.224,-70.13,254,0.0,0.0,0.0,0
3,1771968715.0567,36.8,3.0,28.8,16.0,0.0,-23.83,PILOTING,SYS_GO,17.0914,2.8919,-1.236,-70.82,254,0.0,0.0,0.0,0
3,1771968715.1071,35.5,1.0,13.3,16.0,0.056,-21.45,PILOTING,SYS_GO,17.092,2.8901,-1.2502,-71.63,254,0.0,0.0,0.0,0
3,1771968715.1482,36.5,5.0,44.1,16.0,0.056,-19.3,PILOTING,SYS_GO,17.0924,2.8888,-1.2628,-72.35,254,0.0,0.0,0.0,0
3,1771968715.2071,33.2,11.6,58.7,16.0,0.056,-17.37,PILOTING,SYS_GO,17.0933,2.8861,-1.2741,-73.0,254,0.0,0.0,0.0,0
3,1771968715.2859,29.4,1.5,15.0,16.0,0.056,-15.64,PILOTING,SYS_GO,17.0944,2.8824,-1.2841,-73.58,254,0.0,0.0,0.0,0
3,1771968715.3335,34.9,2.3,39.4,16.0,0.056,-14.07,PILOTING,SYS_GO,17.0946,2.8814,-1.2931,-74.09,254,0.0,0.0,0.0,0
3,1771968715.401,32.7,6.0,39.7,16.0,0.056,-12.67,PILOTING,SYS_GO,17.0953,2.8791,-1.3012,-74.55,254,0.0,0.0,0.0,0
3,1771968715.4663,30.2,0.0,17.1,20.0,0.056,-11.4,PILOTING,SYS_GO,17.096,2.8765,-1.3084,-74.97,254,0.0,0.0,0.0,0
3,1771968715.5122,35.9,1.0,43.5,20.0,0.112,-6.84,PILOTING,SYS_GO,17.0965,2.8746,-1.3165,-75.43,254,0.0,0.0,0.0,0
3,1771968715.5748,32.9,0.0,10.7,20.0,0.112,-4.1,PILOTING,SYS_GO,17.0978,2.8695,-1.3213,-75.71,254,0.0,0.0,0.0,0
3,1771968715.619,45.0,0.5,31.3,20.0,0.112,-2.46,PILOTING,SYS_GO,17.0981,2.8683,-1.3242,-75.87,254,0.0,0.0,0.0,0
3,1771968715.6647,42.3,17.0,14.1,20.0,0.112,-1.48,PILOTING,SYS_GO,17.0989,2.8649,-1.3259,-75.97,254,0.0,0.0,0.0,0
3,1771968715.7249,38.3,0.3,31.1,20.0,0.112,-0.89,PILOTING,SYS_GO,17.1001,2.86,-1.327,-76.03,254,0.0,0.0,0.0,0
3,1771968715.7719,36.7,1.0,18.7,20.0,0.112,-0.53,PILOTING,SYS_GO,17.101,2.8564,-1.3276,-76.07,254,0.0,0.0,0.0,0
3,1771968715.8183,38.3,2.8,25.7,20.0,0.112,-0.32,PILOTING,SYS_GO,17.1016,2.8539,-1.328,-76.09,254,0.0,0.0,0.0,0
3,1771968715.8651,37.4,0.0,18.1,20.0,0.112,-0.19,PILOTING,SYS_GO,17.1024,2.8507,-1.3282,-76.1,254,0.0,0.0,0.0,0
3,1771968715.9116,40.7,14.5,34.5,20.0,0.112,-0.11,PILOTING,SYS_GO,17.1029,2.8487,-1.3283,-76.11,254,0.0,0.0,0.0,0
3,1771968715.9716,36.6,0.0,21.7,20.0,0.112,-0.07,PILOTING,SYS_GO,17.1043,2.8433,-1.3284,-76.11,254,0.0,0.0,0.0,0
3,1771968716.021,38.5,4.0,46.4,20.0,0.112,-0.04,PILOTING,SYS_GO,17.1048,2.841,-1.3285,-76.11,254,0.0,0.0,0.0,0
3,1771968716.099,34.1,6.0,13.3,20.0,0.112,-0.02,PILOTING,SYS_GO,17.1065,2.8345,-1.3285,-76.12,254,0.0,0.0,0.0,0
