schema_ver,timestamp,fps,yolo_ms,vis_ms,speed_pwm,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,estop
2,1771967597.5887,37.9,0.7,15.0,20.0,0.0,PILOTING,SYS_GO,15.638,10.88,0.0,0.0,338,0.0,0
2,1771967597.6386,42.5,1.0,33.3,20.0,0.0,PILOTING,SYS_GO,15.6399,10.88,0.0,0.0,338,0.0,0
2,1771967597.6792,39.8,0.0,65.7,20.0,0.0,PILOTING,SYS_GO,15.6437,10.88,0.0,0.0,338,0.0,0
2,1771967597.7557,34.8,0.0,13.3,20.0,0.0,PILOTING,SYS_GO,15.6513,10.88,0.0,0.0,338,0.0,0
2,1771967597.8032,42.9,4.2,49.3,20.0,0.0,PILOTING,SYS_GO,15.6528,10.88,0.0,0.0,338,0.0,0
2,1771967597.8648,37.8,0.5,9.8,20.0,0.0,PILOTING,SYS_GO,15.6592,10.88,0.0,0.0,338,0.0,0
2,1771967597.9102,49.5,2.0,14.9,20.0,0.0,PILOTING,SYS_GO,15.6604,10.88,0.0,0.0,338,0.0,0
2,1771967597.9565,51.5,1.0,24.7,20.0,0.0,PILOTING,SYS_GO,15.6623,10.88,0.0,0.0,338,0.0,0
2,1771967598.0012,48.4,0.5,40.8,20.0,0.0,PILOTING,SYS_GO,15.6654,10.88,0.0,0.0,338,0.0,0
2,1771967598.0473,43.6,1.7,71.4,20.0,0.0,PILOTING,SYS_GO,15.67,10.88,0.0,0.0,338,0.0,0
2,1771967598.141,37.6,1.0,14.0,20.0,0.0,PILOTING,SYS_GO,15.6783,10.88,0.0,0.0,338,0.0,0
2,1771967598.1861,42.5,7.1,26.6,20.0,0.0,PILOTING,SYS_GO,15.6801,10.88,0.0,0.0,338,0.0,0
2,1771967598.2446,40.0,4.9,32.2,20.0,0.0,PILOTING,SYS_GO,15.6839,10.88,0.0,0.0,338,0.0,0
2,1771967598.3074,36.2,0.0,29.6,20.0,0.0,PILOTING,SYS_GO,15.6891,10.88,0.0,0.0,338,0.0,0
2,1771967598.3545,35.7,0.0,20.9,20.0,0.0,PILOTING,SYS_GO,15.6925,10.88,0.0,0.0,338,0.0,0
2,1771967598.4007,38.1,2.1,16.0,20.0,0.0,PILOTING,SYS_GO,15.6948,10.88,0.0,0.0,338,0.0,0
2,1771967598.451,40.3,1.1,42.4,20.0,0.0,PILOTING,SYS_GO,15.6971,10.88,0.0,0.0,338,0.0,0
2,1771967598.5098,36.7,21.0,82.8,20.0,0.0,PILOTING,SYS_GO,15.7021,10.88,0.0,0.0,338,0.0,0
2,1771967598.631,31.3,0.5,41.5,20.0,0.0,PILOTING,SYS_GO,15.7139,10.88,0.0,0.0,337,0.0,0
2,1771967598.6826,29.7,0.0,63.5,20.0,0.0,PILOTING,SYS_GO,15.7187,10.88,0.0,0.0,337,0.0,0
2,1771967598.7571,26.8,9.5,75.0,20.0,0.0,PILOTING,SYS_GO,15.7261,10.88,0.0,0.0,337,0.0,0
2,1771967598.8596,23.6,0.5,13.3,20.0,0.0,PILOTING,SYS_GO,15.7366,10.88,0.0,0.0,337,0.0,0
2,1771967598.9108,33.3,11.1,50.3,20.0,0.0,PILOTING,SYS_GO,15.7381,10.88,0.0,0.0,337,0.0,0
2,1771967598.9818,29.9,0.0,21.3,20.0,0.0,PILOTING,SYS_GO,15.7451,10.88,0.0,0.0,337,0.0,0
2,1771967599.0271,33.3,0.6,52.1,20.0,0.0,PILOTING,SYS_GO,15.7475,10.88,0.0,0.0,337,0.0,0
2,1771967599.0901,30.4,0.3,9.4,20.0,0.0,PILOTING,SYS_GO,15.7534,10.88,0.0,0.0,337,0.0,0
2,1771967599.1333,42.1,4.1,36.4,20.0,0.0,PILOTING,SYS_GO,15.7547,10.88,0.0,0.0,337,0.0,0
2,1771967599.1872,38.6,8.8,23.4,20.0,0.0,PILOTING,SYS_GO,15.7592,10.88,0.0,0.0,337,0.0,0
2,1771967599.243,36.0,1.5,19.1,20.0,0.0,PILOTING,SYS_GO,15.7636,10.88,0.0,0.0,337,0.0,0
2,1771967599.2858,38.5,0.0,40.8,20.0,0.0,PILOTING,SYS_GO,15.766,10.88,0.0,0.0,337,0.0,0
2,1771967599.3358,35.7,6.1,31.6,20.0,0.0,PILOTING,SYS_GO,15.7705,10.88,0.0,0.0,337,0.0,0
2,1771967599.3787,33.5,0.0,11.4,20.0,0.0,PILOTING,SYS_GO,15.7751,10.88,0.0,0.0,337,0.0,0
2,1771967599.4254,44.3,7.1,87.0,20.0,0.0,PILOTING,SYS_GO,15.7763,10.88,0.0,0.0,337,0.0,0
2,1771967599.5337,37.6,7.2,12.5,20.0,0.0,PILOTING,SYS_GO,15.7869,10.88,0.0,0.0,337,0.0,0
2,1771967599.577,36.2,3.6,19.2,20.0,0.0,PILOTING,SYS_GO,15.7905,10.88,0.0,0.0,337,0.0,0
2,1771967599.6237,37.7,5.5,50.4,20.0,0.0,PILOTING,SYS_GO,15.7931,10.88,0.0,0.0,337,0.0,0
2,1771967599.6852,33.8,1.0,10.2,20.0,0.0,PILOTING,SYS_GO,15.7993,10.88,0.0,0.0,337,0.0,0
2,1771967599.7295,42.1,0.0,35.7,20.0,0.0,PILOTING,SYS_GO,15.8008,10.88,0.0,0.0,337,0.0,0
2,1771967599.7754,39.0,7.9,34.8,20.0,0.0,PILOTING,SYS_GO,15.8051,10.88,0.0,0.0,337,0.0,0
2,1771967599.8404,34.8,2.5,30.7,20.0,0.0,PILOTING,SYS_GO,15.8113,10.88,0.0,0.0,337,0.0,0
2,1771967599.881,33.7,0.5,16.7,20.0,0.0,PILOTING,SYS_GO,15.8151,10.88,0.0,0.0,337,0.0,0
2,1771967599.9303,38.6,3.3,68.6,20.0,0.0,PILOTING,SYS_GO,15.817,10.88,0.0,0.0,337,0.0,0
2,1771967600.0173,33.6,0.0,11.2,20.0,0.0,PILOTING,SYS_GO,15.8252,10.88,0.0,0.0,337,0.0,0
2,1771967600.0626,44.7,0.9,25.2,20.0,0.0,PILOTING,SYS_GO,15.8265,10.88,0.0,0.0,337,0.0,0
2,1771967600.1084,43.4,6.8,37.6,20.0,0.0,PILOTING,SYS_GO,15.8294,10.88,0.0,0.0,337,0.0,0
2,1771967600.1684,39.1,1.1,21.3,20.0,0.0,PILOTING,SYS_GO,15.8345,10.88,0.0,0.0,337,0.0,0
2,1771967600.2161,39.7,12.7,51.8,20.0,0.0,PILOTING,SYS_GO,15.8371,10.88,0.0,0.0,337,0.0,0
2,1771967600.2898,34.8,0.0,29.4,20.0,0.0,PILOTING,SYS_GO,15.8445,10.88,0.0,0.0,337,0.0,0
2,1771967600.3372,33.9,2.5,48.5,20.0,0.0,PILOTING,SYS_GO,15.8482,10.88,0.0,0.0,337,0.0,0
2,1771967600.3975,30.9,17.6,46.3,20.0,0.0,PILOTING,SYS_GO,15.8541,10.88,0.0,0.0,337,0.0,0
2,1771967600.4864,27.3,0.0,36.9,20.0,0.0,PILOTING,SYS_GO,15.8628,10.88,0.0,0.0,337,0.0,0
2,1771967600.5335,27.3,1.6,45.0,20.0,0.0,PILOTING,SYS_GO,15.8669,10.88,0.0,0.0,337,0.0,0
2,1771967600.5925,26.1,12.9,51.1,20.0,0.0,PILOTING,SYS_GO,15.8722,10.88,0.0,0.0,337,0.0,0
2,1771967600.6686,23.8,0.0,13.9,20.0,0.0,PILOTING,SYS_GO,15.8798,10.88,0.0,0.0,337,0.0,0
2,1771967600.7154,32.4,1.0,69.0,20.0,0.0,PILOTING,SYS_GO,15.8815,10.88,0.0,0.0,337,0.0,0
2,1771967600.808,28.6,13.5,28.7,20.0,0.0,PILOTING,SYS_GO,15.8899,10.88,0.0,0.0,337,0.0,0
2,1771967600.8702,27.3,1.1,18.2,20.0,0.0,PILOTING,SYS_GO,15.895,10.88,0.0,0.0,337,0.0,0
2,1771967600.9154,32.2,4.0,41.6,20.0,0.0,PILOTING,SYS_GO,15.8971,10.88,0.0,0.0,337,0.0,0
2,1771967600.9849,29.7,3.6,10.6,20.0,0.0,PILOTING,SYS_GO,15.9028,10.88,0.0,0.0,337,0.0,0
2,1771967601.0288,37.3,0.0,24.7,20.0,0.0,PILOTING,SYS_GO,15.9045,10.88,0.0,0.0,337,0.0,0
2,1771967601.0693,37.8,2.7,55.0,20.0,0.0,PILOTING,SYS_GO,15.9073,10.88,0.0,0.0,337,0.0,0
2,1771967601.1453,33.1,0.0,10.4,20.0,0.0,PILOTING,SYS_GO,15.9151,10.88,0.0,0.0,337,0.0,0
2,1771967601.1908,45.7,1.7,59.3,20.0,0.0,PILOTING,SYS_GO,15.9163,10.88,0.0,0.0,337,0.0,0
2,1771967601.2672,39.8,8.6,13.6,20.0,0.0,PILOTING,SYS_GO,15.9231,10.88,0.0,0.0,337,0.0,0
2,1771967601.3163,38.9,2.0,31.1,20.0,0.0,PILOTING,SYS_GO,15.9263,10.88,0.0,0.0,337,0.0,0
2,1771967601.3601,37.2,0.0,57.7,20.0,0.0,PILOTING,SYS_GO,15.93,10.88,0.0,0.0,337,0.0,0
2,1771967601.4207,33.2,0.4,10.4,20.0,0.0,PILOTING,SYS_GO,15.9365,10.88,0.0,0.0,337,0.0,0
2,1771967601.4665,44.3,1.1,24.9,20.0,0.0,PILOTING,SYS_GO,15.9378,10.88,0.0,0.0,337,0.0,0
2,1771967601.5119,43.0,0.7,46.8,20.0,0.0,PILOTING,SYS_GO,15.9408,10.88,0.0,0.0,337,0.0,0
2,1771967601.5727,38.6,0.0,20.0,20.0,0.0,PILOTING,SYS_GO,15.9461,10.88,0.0,0.0,337,0.0,0
2,1771967601.6276,40.9,2.6,34.3,20.0,0.0,PILOTING,SYS_GO,15.9483,10.88,0.0,0.0,337,0.0,0
2,1771967601.6956,36.2,0.0,13.9,20.0,0.0,PILOTING,SYS_GO,15.9548,10.88,0.0,0.0,337,0.0,0
2,1771967601.742,43.3,4.2,34.6,20.0,0.0,PILOTING,SYS_GO,15.9564,10.88,0.0,0.0,337,0.0,0
2,1771967601.808,39.2,19.7,16.6,20.0,0.0,PILOTING,SYS_GO,15.9612,10.88,0.0,0.0,337,0.0,0
2,1771967601.8634,35.4,0.5,17.9,20.0,0.0,PILOTING,SYS_GO,15.9668,10.88,0.0,0.0,337,0.0,0
2,1771967601.9107,38.6,2.0,19.8,20.0,0.0,PILOTING,SYS_GO,15.969,10.88,0.0,0.0,337,0.0,0
2,1771967601.9607,39.7,3.2,10.4,20.0,0.0,PILOTING,SYS_GO,15.9715,10.88,0.0,0.0,337,0.0,0
2,1771967602.0022,44.0,1.0,23.8,20.0,0.0,PILOTING,SYS_GO,15.9733,10.88,0.0,0.0,337,0.0,0
2,1771967602.0478,42.8,2.2,62.7,20.0,0.0,PILOTING,SYS_GO,15.9763,10.88,0.0,0.0,337,0.0,0
2,1771967602.123,37.3,0.0,17.7,20.0,0.0,PILOTING,SYS_GO,15.9835,10.88,0.0,0.0,337,0.0,0
2,1771967602.1736,41.2,0.0,41.0,20.0,0.0,PILOTING,SYS_GO,15.9855,10.88,0.0,0.0,337,0.0,0
2,1771967602.2339,37.8,15.6,44.1,20.0,0.0,PILOTING,SYS_GO,15.9901,10.88,0.0,0.0,337,0.0,0
2,1771967602.3056,33.6,0.0,17.8,20.0,0.0,PILOTING,SYS_GO,15.9969,10.88,0.0,0.0,336,0.0,0
2,1771967602.3523,38.1,7.5,75.1,20.0,0.0,PILOTING,SYS_GO,15.9989,10.88,0.0,0.0,336,0.0,0
2,1771967602.4582,32.6,0.0,10.5,20.0,0.0,PILOTING,SYS_GO,16.0092,10.88,0.0,0.0,336,0.0,0
2,1771967602.5033,42.7,0.5,35.1,20.0,0.0,PILOTING,SYS_GO,16.0106,10.88,0.0,0.0,336,0.0,0
2,1771967602.5521,39.3,9.7,36.5,20.0,0.0,PILOTING,SYS_GO,16.015,10.88,0.0,0.0,336,0.0,0
2,1771967602.6105,35.6,1.0,12.0,20.0,0.0,PILOTING,SYS_GO,16.0204,10.88,0.0,0.0,336,0.0,0
2,1771967602.6581,43.8,5.5,73.6,20.0,0.0,PILOTING,SYS_GO,16.0219,10.88,0.0,0.0,336,0.0,0
2,1771967602.7493,37.5,0.3,17.5,20.0,0.0,PILOTING,SYS_GO,16.031,10.88,0.0,0.0,336,0.0,0
2,1771967602.7954,41.3,7.2,55.0,20.0,0.0,PILOTING,SYS_GO,16.033,10.88,0.0,0.0,336,0.0,0
2,1771967602.8833,36.1,6.4,24.4,20.0,0.0,PILOTING,SYS_GO,16.0402,10.88,0.0,0.0,336,0.0,0
2,1771967602.9323,35.0,3.7,32.4,20.0,0.0,PILOTING,SYS_GO,16.0439,10.88,0.0,0.0,336,0.0,0
2,1771967602.9833,33.6,0.0,55.9,20.0,0.0,PILOTING,SYS_GO,16.0479,10.88,0.0,0.0,336,0.0,0
2,1771967603.0542,30.3,0.0,10.5,20.0,0.0,PILOTING,SYS_GO,16.0544,10.88,0.0,0.0,336,0.0,0
2,1771967603.0991,42.3,4.1,57.0,20.0,0.0,PILOTING,SYS_GO,16.0557,10.88,0.0,0.0,336,0.0,0
2,1771967603.1753,36.8,10.0,45.6,20.0,0.0,PILOTING,SYS_GO,16.0633,10.88,0.0,0.0,336,0.0,0
2,1771967603.2353,33.0,0.5,19.9,20.0,0.0,PILOTING,SYS_GO,16.0696,10.88,0.0,0.0,336,0.0,0
2,1771967603.2833,35.9,0.9,70.3,20.0,0.0,PILOTING,SYS_GO,16.072,10.88,0.0,0.0,336,0.0,0
2,1771967603.3905,31.5,0.0,12.1,50.0,0.0,PILOTING,SYS_GO,16.0802,10.88,0.0,0.0,336,0.0,0
2,1771967603.4333,41.6,0.0,40.0,50.0,0.0,PILOTING,SYS_GO,16.0867,10.88,0.0,0.0,336,0.0,0
2,1771967603.4887,38.1,3.1,94.1,50.0,0.0,PILOTING,SYS_GO,16.1088,10.88,0.0,0.0,336,0.0,0
2,1771967603.6031,32.5,0.8,11.2,50.0,0.0,PILOTING,SYS_GO,16.1614,10.88,0.0,0.0,336,0.0,0
2,1771967603.6489,42.0,2.1,48.1,50.0,0.0,PILOTING,SYS_GO,16.1681,10.88,0.0,0.0,336,0.0,0
2,1771967603.7101,37.5,15.1,55.0,50.0,0.0,PILOTING,SYS_GO,16.1952,10.88,0.0,0.0,335,0.0,0
2,1771967603.8019,32.4,0.0,14.7,50.0,0.0,PILOTING,SYS_GO,16.2407,10.88,0.0,0.0,335,0.0,0
2,1771967603.8493,39.5,0.0,48.1,50.0,0.0,PILOTING,SYS_GO,16.2485,10.88,0.0,0.0,335,0.0,0
2,1771967603.9259,34.8,4.3,15.2,50.0,0.0,PILOTING,SYS_GO,16.2818,10.88,0.0,0.0,335,0.0,0
2,1771967603.9787,37.0,3.1,35.7,50.0,0.0,PILOTING,SYS_GO,16.2934,10.88,0.0,0.0,335,0.0,0
2,1771967604.0343,34.6,4.5,75.3,50.0,0.0,PILOTING,SYS_GO,16.3146,10.88,0.0,0.0,335,0.0,0
2,1771967604.1222,30.1,0.0,13.3,50.0,0.0,PILOTING,SYS_GO,16.3587,10.88,0.0,0.0,335,0.0,0
2,1771967604.1726,39.1,5.0,101.6,50.0,0.0,PILOTING,SYS_GO,16.3658,10.88,0.0,0.0,335,0.0,0
2,1771967604.2903,33.2,0.0,17.9,50.0,0.0,PILOTING,SYS_GO,16.423,10.88,0.0,0.0,335,0.0,0
2,1771967604.3385,37.7,1.0,42.9,50.0,0.0,PILOTING,SYS_GO,16.4326,10.88,0.0,0.0,335,0.0,0
2,1771967604.3991,34.7,10.4,34.9,50.0,0.0,PILOTING,SYS_GO,16.4559,10.88,0.0,0.0,335,0.0,0
2,1771967604.4596,32.2,0.4,36.8,50.0,0.0,PILOTING,SYS_GO,16.48,10.88,0.0,0.0,335,0.0,0
2,1771967604.507,31.0,1.5,75.7,50.0,0.0,PILOTING,SYS_GO,16.5004,10.88,0.0,0.0,335,0.0,0
2,1771967604.5965,27.3,0.0,14.2,50.0,0.0,PILOTING,SYS_GO,16.5425,10.88,0.0,0.0,334,0.0,0
2,1771967604.6424,35.9,0.4,37.7,50.0,0.0,PILOTING,SYS_GO,16.5501,10.88,0.0,0.0,334,0.0,0
2,1771967604.6933,33.7,2.5,39.6,50.0,0.0,PILOTING,SYS_GO,16.5714,10.88,0.0,0.0,334,0.0,0
2,1771967604.7649,30.0,0.0,30.7,50.0,0.0,PILOTING,SYS_GO,16.6064,10.88,0.0,0.0,334,0.0,0
2,1771967604.814,30.5,5.0,26.4,50.0,0.0,PILOTING,SYS_GO,16.6227,10.88,0.0,0.0,334,0.0,0
